"""option-Grow Tent Brand","['1215', '1214', '1212', '1211""']"
"""Color Temp (Kelvin)","['3200 K""']"
"""Bulb(s) Included?","['Yes""', 'No""']"
"""Grow Light Certifications","['CSA Listed""', 'CSA Listed""']"
"""Frequency","['60 Hz""', '50/60 Hz""', '50/60 Hz""']"
"""Coverage Area","['Veg: 6\' x 6\', Flower: 5\' x 5\'""', 'Flower: 4\' x 6\'""']"
"""Glass Included","['No""', 'No""']"
"""Est. Electricity Cost /mo","['$43.20""', '$43.20""']"
Template,"['template2', 'template2']"
"""option-addon1-Add Autopilot PX2 Lighting Controller","['621', '147', '1345""']"
"""option-addon2-Add PHOTOBIO Quantum PAR Meter","['164""']"
"""option-addon1-Add HPS/MH Bulbs","['683', '684""']"
"""Optimized For DE Bulbs","['No""']"
"""Dimmable Function","['No""']"
"""Ballast Type","['Digital Ballast""', 'Replacement Parts""']"
